,What was your course in UG?,What is your UG specialization? Major Subject (Eg; Mathematics),What are your interests?,What are your skills ? (Select multiple if necessary),What was the average CGPA or Percentage obtained in under graduation?
180,BBA,Human resources ,Financial Analysis;Research;Technology;Understand human behaviour;Data analytics;Game industry,Accounting Skills;Business Knowledge;People management;Communication skills;Product knowledge;Data Visualization skills( Power Bi/ Tableau );SQL;HR;Good communication skills,50.635
181,B.Sc,Computer Science Engineering,"Take risk for Profits, Teaching, Technology","Accounting Skills, Business Knowledge, Programming, People Management, Leadership, Creativity Skills, Team work, Excel, Presentation Skills, Problem Solving skills, Reporting",58
182,BCA,Computers Science,Research;Technology;Web Designing;Content Writing;Digital marketing,Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Artistic/Creative Skills;Communication skills;Problem Solving skills;Designing skills;Writing skills;C++;Presentation Skills;Linux;Artificial Intelligence;SQL;Content creation;Java;Cloud Computing,76.89
183,B.Sc,Statistics ,Financial Analysis;Research;Sales/Marketing;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Web Designing;Content Writing;Data analytics;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Social causes,Accounting Skills;Active Listening;Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Civil & Criminal Law;Communication skills;Problem Solving skills;Risk management skills;Designing skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Sales;Social Media Marketing;Interpersonal skills;Presentation Skills;R;Python;SQL;Content creation;Java;Cloud Computing;Architecture,66
184,BCA,MCA,Technology;Web Designing;Data analytics;Data scientist;Web development;All fields related to Data science.;Machine Learning,Programming Language skills;Python;SQL;Java;AWS;Javascript,74.29
185,B.Tech,Mechanical Engineering,Oil and Gas,Critical Thinking;People management;Communication skills;Negotiation skills;Client management;Refinery Operations,80.75
186,B.Tech,Civil Engineering,"Take risk for Profits, Trading, Understand Human Behaviour","Analytic Thinking, People Management, Creativity Skills, Excel, Reading",76
187,BE,Mathematics,Home interior design,Programming Language skills;Critical Thinking;Editing,63.65
188,BCA,Computer Applications,Technology;Data analytics,Accounting Skills;Active Listening;Communication skills;Problem Solving skills;Writing skills;Interpersonal skills,80
189,BE,Automobile Engineering,Technology;Sports Industry,Gathering Information;People management;Communication skills;Product knowledge;Problem Solving skills;Java;Client management;Good communication skills,67.45
190,B.Sc,Microbiology,Research,"Protein expression ;protein purification; Molecular Biology; biochemistry; protein chemistry ;western blotting ;cell culture; cell biology; bioinformatics;
Polymerase Chain Reaction (PCR) ;molecular cloning; microscopy;
Chromatography;
Enzyme Kinetics;
Biophysics electron microscopy;
Cryo-EM;X-ray crystallography;
Static Light Scattering;chromatrography",84.265
191,B.Tech,Computer Science Engineering,Technology;Web Designing;Data analytics,Communication skills;Writing skills;C++;Python;SQL;Java,79
192,B.Tech,Computer science ,Web development,Programming Language skills;Problem Solving skills,87.685
193,BA,General,Understand human behaviour;Understand human body;Govt. Job;Industires,Active Listening;Hardware skills;Communication skills;Negotiation skills,72
194,B.Tech,Computer Science Engineering,Web Designing,Critical Thinking;Finance related skills;People management;Communication skills;Leadership;Designing skills;Social Media Marketing,80.655
195,B.Tech,Civil Engineering,Industires;SAP Consultant in MM;Construction,"Proeficiency in Software like STAAD PRO, ETABS",65.55
196,B.Tech,Civil Engineering,Construction;Construction Manegement;Urban Planning;Project Management,"Active Listening;Critical Thinking;Gathering Information;Analytical Skills;Finance related skills;Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;SAP",77.615
197,B.Sc,Physics,Social Justice,"Business Knowledge, Sales",74.1
198,B.Tech,Mechanical Engineering,Technology,"AI, ML, Python, SQL, Negotiation Skills, Work under Pressure, Leadership, News Gathering, Editing, Market Study, Team work, Derivatives, Excel, Tableau, CATIA , ANSYS ,SOLIDWORKS,CAESAR 2",67.545
199,B.Tech,Mechanical Engineering,Technology,"Business Knowledge, Leadership, Market Study",80.75
200,B.Sc,Physics,Social Justice,Leadership,74.1
201,MBA,Business Administration,"Financial Analysis, Sales/Marketing","Accounting Skills, Business Knowledge, Product Knowledge, Sales",60
202,B.Tech,Computer Science Engineering,Technology;Data analytics;Data scientist,Programming Language skills;Critical Thinking;Artistic/Creative Skills;Analytical Skills;Machine Learning skills;Python;SQL;Java,68.4
203,B.Tech,Communication & Political Science,Technology,"Team work, Excel, Designing Skills",66.5
204,B.Sc,Zoology,News Coverage;Understand human behaviour;Govt. Job,Gathering Information,61
205,B.Tech,Structural analysis ,Technology;Data analytics;Data scientist;Infrastructure;All fields related to Data science.;Design,Active Listening;Hardware skills;Critical Thinking;Mass Communication;R;Python,65
206,B.Sc,Computers,Web Designing,Accounting Skills;Active Listening;Programming Language skills;Problem Solving skills;Designing skills;R;Python;SQL;HR;MATLAB,65
207,B.Sc,Computer Science Engineering,Research;Social Justice;Understand human behaviour;Understand human body;Govt. Job,Active Listening;Programming Language skills;Gathering Information;Artistic/Creative Skills;People management;Communication skills;Leadership;C++;Linux;Java;HR,60
208,B.Com,cost and work accounting,Data entry or telecalling work,"Team work, Excel, Writing",58 
209,MBA,Computer Science Engineering,Financial Analysis;Technology;Data analytics,Programming Language skills;Analytical Skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;SQL,58.9
210,BE,Electrical and Electronics Engineering,Technology;Data analytics,Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Communication skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Python;Artificial Intelligence,78.47
211,BA,English ,Research;Teaching;Govt. Job;Design;Sports Industry,People management;Leadership;Designing skills;Writing skills;Social Media Marketing,83
212,B.Tech,Electronics and Communication Engineering,Data Analytics,NO,78.85
213,B.Com,Finance,Financial Analysis,Business Knowledge,61
214,B.Tech,Mechanical Engineering,Technology;Data analytics;Data scientist,Programming Language skills;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Python;SQL;Java;Teaching,60
215,BE,Civil Engineering,Technology,"People Management, Observation Skills, Designing Skills",85
216,BE,Mechanical Engineering,Research;Technology;Industires;Design;Product Life cycle Management,Analytical Skills;Communication skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Presentation Skills,74.1
217,B.Tech,Production Engineering,Financial Analysis;Technology;Supply Chain Analysis;Data analytics;Data scientist,Designing skills;Python,66.5
218,B.Tech,Transportation Engineering,"Govt. Job;Agriculture, services;Construction Manegement;Excel",Designing skills;Writing skills;CAD/CAE(autocad/catia/ansys/proE/SeimensNX);construction management,63
219,B.Tech,Automobile Engineering,Technology,"Work under Pressure, Leadership, Team work, Excel, Interpersonal Skills, Presentation Skills, Problem Solving skills, Mass Communication, Writing, Risk Managing, Reporting, Reading, Designing Skills",76.095
220,B.Tech,Computer Science Engineering,"Data scientist,Web development,Social causes,All fields related to Data science.Machine Learning","c;JavaScript;Data Structure;CSS; jQuery ;Angular JS ;javaScript; hTML5 ;css3;
SSIS; ssms; python; react.js ;java Enterprise edition",67.45
221,MCA,Computer Application ,Technology,Programming Language skills;Critical Thinking;Leadership,62
222,B.Tech,Computer Science Engineering,"Data scientist,Web development,Social causes,All fields related to Data science,Machine Learning",CSS;C++;JavaScript;MySQL;Java;SQL;Cascading Style Sheets (CSS);Website Development;jQuery;HTML5;Linux;AJAX;Software Development;XML;CakePHP;CodeIgniter;Laravel;Symfony;Symfony Framework;Git;Angular Command Line Interface (CLI);Yii2,76
223,BCA,Java,Information Technology,Communication skills;Writing skills;C++,86
224,B.Sc,Physics,News Coverage;Research;Sales/Marketing;Social Justice;Teaching,Gathering Information;Artistic/Creative Skills;Analytical Skills;Communication skills,68.4
225,B.Tech,Electronics and Communication Engineering,"Research, Technology","Python, SQL",74.1
226,B.Tech,Electronics and communication ,Data analytics;Social media marketing,Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;Problem Solving skills;Writing skills;Presentation Skills;Good communication skills,68.21
227,B.Tech,Civil,Construction;Construction Manegement,"Proeficiency in Software like STAAD PRO, ETABS",79.42
228,B.Tech,Mechanical Engineering,Data science and Artificial intelligence ,"ML, Python, Analytic Thinking, Business Knowledge, Leadership, Team work, Excel, R, Problem Solving skills, Data science completed by using python and R",63.9
229,B.Tech,B.E complete,Sales/Marketing;Understand human body;Web Designing;Govt. Job;Gardening;Design,Active Listening;Programming Language skills;Gathering Information;Artistic/Creative Skills;Business Knowledge;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Interpersonal skills;C++;Presentation Skills;Programming Language C,75
230,BE,Electronics and Communication Engineering,Technology;Data analytics;Data scientist;All fields related to Data science.,Programming Language skills;Machine Learning skills;Linux;Python;Artificial Intelligence;SQL,80.75
231,B.Tech,Engineering,"News Coverage, Technology","Critical Thinking, Analytic Thinking, Gathering Informing, Negotiation Skills, Work under Pressure, Team work, Excel, Logical Skills, Problem Solving skills",82.46
232,BE,Computer Science Engineering,Technology;Content Writing;Web development,Programming Language skills;Business Knowledge;Communication skills;Problem Solving skills,65
233,B.Tech,Mechanical Engineering,Web Designing,Communication skills;Leadership;Problem Solving skills;Java,76.38
234,BE,Mechanical Engineering,Technology;Data scientist;Web development,Programming Language skills;Communication skills;SQL;Java,75.39
235,B.Tech,History,Trading,"Java, Programming",72.2
236,B.Tech,Computer Science Engineering,Technology;Trading;Data scientist,Programming Language skills;Critical Thinking;Gathering Information;Analytical Skills;Communication skills;Problem Solving skills;SQL,66.595
237,B.Tech,Electronics and Communication Engineering ,Technology,Programming Language skills;Critical Thinking;Communication skills;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Cloud Computing,76.095
238,BBA,Physics,Teaching,Civil & Criminal Law,66.5
239,BE,Automobile Engineering,Research;Teaching;Technology;Understand human behaviour;Understand human body;Data analytics;Game industry;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Negotiation skills;Leadership;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python,60
240,B.Sc,Computer science ,Technology;Web Designing;Data analytics;Digital marketing;Data scientist;Web development;Social media marketing,Active Listening;Critical Thinking;Artistic/Creative Skills;Analytical Skills;Communication skills;Linux;Python;SQL,81.7
241,B.Com,Accounts,Financial Analysis;Understand human behaviour;Content Writing;Data analytics;Data scientist,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Presentation Skills;Python;SQL;Good communication skills,57
242,B.E,Automobile Engineering,Technology,"Java, SQL, Programming, Communication Skills, Team work, Presentation Skills",77.615
243,B.E,Information Technology,"Research, Social Justice, Understand Human Body","Writing, Reading",73.625
244,B.Tech,Electrical and Electronics Engineering,"Financial Analysis, Technology, Entrepreneurship","ML, Python, Business Knowledge, Java, Linux, AWS",66.5
